DIN,Name,Restaurant,Ingredient,Category,Calorie,Price,Img,Score
?,Grilled Bbq Chicken,Texas Roadhouse,Marinated 1ò2 lb. breast basted in our BBQ sauce. Served with your choice of two sides.,dinner,300,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/grilled-bbq-chicken.jpg,0
?,Country Fried Chicken,Texas Roadhouse,"Tender, all white meat chicken breast, hand-battered, golden-fried and topped with made-from-scratch cream gravy. Served with your choice of two sides.",dinner,830,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/country-fried-chicken.jpg,0
?,Chicken Critters,Texas Roadhouse,"All white meat chicken strips, hand-dipped in signature batter and fried to a crispy golden brown. Served with your choice of two sides.",dinner,840,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/chicken-critters.jpg,0
?,Country Veg Plate,Texas Roadhouse,"Choose a total of 4 side items - one salad only, please. ",dinner,570,9.49,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/country-veg-plate.jpg,0
?,Country Fried Sirloin,Texas Roadhouse,"Hand-battered, fresh-cut sirloin served crispy and golden, topped with made-from-scratch cream gravy. Served with your choice of two sides.",dinner,870,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/country-fried-sirloin.jpg,0
?,Pulled Pork Dinner,Texas Roadhouse,"Tender, slow-cooked pork covered in our signature BBQ sauce and served with toasted fresh-baked bread. Served with your choice of two sides.",dinner,870,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/pulled-pork-dinner.jpg,0
?,Grilled Pork Chops,Texas Roadhouse,"Fresh, hand-cut, boneless chops seasoned and served with Peppercorn sauce. Served with your choice of two sides.",dinner,600,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/grilled-pork-chops.jpg,0
?,Beef Tips,Texas Roadhouse,"Cuts of steak with saut_ed mushrooms, onions, brown gravy and sour cream over seasoned rice or mashed potatoes. Served with your choice of one side.",dinner,1050,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/beef-tips.jpg,0
?,Grilled Shrimp,Texas Roadhouse,"Large shrimp seasoned, grilled, drizzled with garlic lemon pepper butter and served over seasoned rice. Served with your choice of two sides.",dinner,1060,14.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/grilled-shrimp-entree.jpg,0
?,Fried Catfish,Texas Roadhouse,"U.S. farm-raised catfish, lightly breaded in southern cornmeal, deep-fried, and served with Creole Mustard sauce. Served with your choice of two sides. ",dinner,790,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/fried-catfish.jpg,0
?,Grilled Salmon,Texas Roadhouse,"8 oz. Norwegian fillet salmon steak, grilled moist and tender and topped with our special lemon pepper butter. Served with your choice of two sides. Also available in a 5 oz. portion.",dinner,690,11.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/grilled-salmon.jpg,0
?,Bbq Chicken Sandwich,Texas Roadhouse,"Marinated and grilled, then basted with BBQ sauce. Served with lettuce, tomato and onion on a Texas-sized bun with steak fries and a pickle spear on the side.",dinner,550,9.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/bbq-chicken-sandwich.jpg,0
?,Pulled Pork Sandwich,Texas Roadhouse,"Tender, slow-cooked pork covered in our signature BBQ sauce. Served on a toasted, Texas-sized bun with steak fries and a pickle spear on the side.",dinner,770,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/pulled-pork-sandwich.jpg,0
?,Mushroom Jack Chicken Sandwich,Texas Roadhouse,"Grilled chicken breast, saut_ed mushrooms and melted jack cheese with lettuce, tomato and onion. Served on a toasted, Texas-sized bun with steak fries and a pickle spear on the side.",dinner,660,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/mushroom-jack-chicken-sandwich.jpg,0
?,All-American Cheeseburger,Texas Roadhouse,"Our classic burger made from a 1/2 lb. of fresh ground chuck and topped with American cheese. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion, along with steak fries and a pickle spear on the side.",dinner,890,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/all-american-cheeseburger.jpg,0
?,Bacon Cheeseburger,Texas Roadhouse,"A 1/2 lb. of fresh ground chuck topped with bacon strips and American cheese. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion. Served with steak fries and a pickle spear on the side.",dinner,1020,9.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/bacon-cheeseburger.jpg,0
?,Smokehouse Burger,Texas Roadhouse,"A 1/2 lb. of fresh ground chuck topped with saut_ed mushrooms, onions and BBQ sauce over American and jack cheeses. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion, along with steak fries and a pickle spear on the side.",dinner,1090,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/smokehouse-burger.jpg,0
